Prompt,Category
"Detect if this piece of writing was generated by AI or a human.",AI content detection
"Design a logo for a new online platform for learning new skills.",Branding and Logo Design
"Create a presentation about the history of sports.",Presentation Creation
"Plan a travel itinerary for a 7-day trip to Italy.",Travel Itinerary Creation
"Plan an event for a company's annual team-building day.",Event Planning
"Write product descriptions for a range of outdoor gear and equipment.",Product Descriptions
"Give me personalized recommendations for restaurants based on my dietary preferences.",Personalized Recommendations
"Write a resume and cover letter for a job application as a data analyst.",Resume and Cover Letter Writing
"Create a job description for a social media manager at a marketing agency.",Job Description Creation
"Analyze the data collected from a research paper on the impact of climate change on agriculture.",Research Paper Data
"Summarize the key points of this news article about the latest discoveries in astronomy.",Summarisations
"Generate a news article about a major political event.",News Article Generation
"Summarize this chapter from a geography textbook.",Content Summarization
"Compose a short story about a group of friends who go on a camping trip.",Others
"Can you write a chatbot script for a customer support chatbot?",Chatbots and Virtual Assistants
"Create a conversation script for a phone call between two colleagues discussing a project deadline.",Conversation
"I'm feeling stressed about an upcoming job interview. Can you provide some tips for preparing for a job interview?",Mental health
"Generate a whimsical image of a unicorn galloping through a rainbow.",Image Generation
"Create a short video explaining how to use a new online service.",Video Generation
"Compose a catchy and upbeat pop song with a positive and empowering message.",Music Creation
"Generate a voiceover for an educational video about the history of the world.",Speech Generation
"Write a podcast script discussing the challenges and opportunities of working in the tech industry.",Podcast Content Creation
"Create a blog post about the benefits of practicing gratitude.",Blog Writing
